{4677}beidouzhizun 北斗之尊
{4685}beifentianying 悲愤填膺
{4691}beigongjiaocuo 杯觥交错
{4679}beigongquxi 卑躬屈膝
{4692}beigongsheying 杯弓蛇影
{4684}beihuanlihe 悲欢离合
{4675}beijinglixiang 背井离乡
{4690}beijiushibingquan 杯酒释兵权
{4689}beipanlangji 杯盘狼藉
{4688}beishuichexin 杯水车薪
{4674}beishuiyizhan 背水一战
{4683}beitianminren 悲天悯人
{4682}beixijiaoji 悲喜交集
{4673}beixinqiyi 背信弃义
{4678}beizhiwushengaolun 卑之无甚高论
{4687}beizhongwu 杯中物
{4671}benmodaozhi 本末倒置
{4667}benniaoxianfei 笨鸟先飞
{4669}benxiaoliwei 本小利微
{4668}benxingnanyi 本性难移
{4672}benzouhuhao 奔走呼号
{4670}benzouxianggao 奔走相告
{4666}benzuizhuoshe 笨嘴拙舌
{4661}bibijieshi 比比皆是
{4638}bierbutan 避而不谈
{4654}bigongbijing 必恭必敬
{4644}bigongbijing 毕恭毕敬
{4651}biguansuoguo 闭关锁国
{4650}biguanzishou 闭关自守
{4660}bijianerli 比肩而立
{4656}bijiewoying 彼竭我盈
{4640}bijuefengqing 弊绝风清
{4633}bileisenyan 壁垒森严
{4632}biliqianren 壁立千仞
{4641}bilulanlv 筚路蓝缕
{4649}bimengeng 闭门羹
{4648}bimensiguo 闭门思过
{4647}bimenzaoche 闭门造车
{4664}bimoguansi 笔墨官司
{4646}bimuseting 闭目塞听
{4643}biqigongyuyiyi 毕其功于一役
{16}bishangbuzu 比上不足
{4665}bishangliangshan 逼上梁山
{4637}bishijixu 避实击虚
{4636}bishijiuxu 避实就虚
{4663}bixiashenghua 笔下生花
{15}bixiayouyu 比下有余
{4635}bixiongquji 避凶趋吉
{4639}bixuedanxin 碧血丹心
{4659}biyilianzhi 比翼连枝
{4657}biyiqifei 比翼齐飞
{4658}biyishuangfei 比翼双飞
{115}biyoujinyou 必有近忧
{19}biyouyide 必有一得
{39}biyouyishi 必有一失
{4653}biyouzhilu 必由之路
{4645}biyuexiuhua 闭月羞花
{4652}bizhengzhidi 必争之地
{4634}bizhongjiuqing 避重就轻
{4655}bizhongwogua 彼众我寡
{4642}bizhouzizhen 敝帚自珍
{4662}bizoulongshe 笔走龙蛇
{4629}bianbenjiali 变本加厉
{4631}bianchangmoji 鞭长莫及
{4622}biandikaihua 遍地开花
{4628}bianhuaduoduan 变化多端
{4627}bianhuamoce 变化莫测
{4626}bianhuawuchang 变化无常
{4625}bianhuawuqiong 变化无穷
{4624}bianhuanmoce 变幻莫测
{4623}bianhuanwuchang 变幻无常
{4630}bianpiruli 鞭辟入里
{4621}biantilinshang 遍体鳞伤
{4619}biaobingqiangu 彪炳千古
{4617}biaoliruyi 表里如一
{4616}biaoliweijian 表里为奸
{4615}biaomianwenzhang 表面文章
{4614}biaotongfayi 标同伐异
{4620}biaoxinliyi 标新立异
{4618}biaoxingdahan 彪形大汉
{4613}biechujizhu 别出机杼
{4612}biechuxincai 别出心裁
{4611}biejujiangxin 别具匠心
{4610}biejuyige 别具一格
{4609}biekaishengmian 别开生面
{4608}bielaiwuyang 别来无恙
{4607}bieshuyizhi 别树一帜
{4606}biewuchangwu 别无长物
{4605}bieyoudongtian 别有洞天
{4600}bieyoutiandi 别有天地
{4604}bieyouyongxin 别有用心
{4601}binbinyouli 彬彬有礼
{4603}binkeruyun 宾客如云
{4602}binzhirugui 宾至如归
{4596}bingbairushandao 兵败如山倒
{4581}bingbizhishu 秉笔直书
{4569}bingbingwaiwai 病病歪歪
{4595}bingbuxueren 兵不血刃
{4594}bingbuyanzha 兵不厌诈
{4576}bingcongkouru 病从口入
{4570}bingdifurong 并蒂芙蓉
{14}bingdongsanchi 冰冻三尺
{4592}bingduojiangguang 兵多将广
{4579}binggongbanli 秉公办理
{4580}binggongwusi 秉公无私
{4591}bingguishensu 兵贵神速
{4590}binghuangmaluan 兵荒马乱
{4575}bingjiluantouyi 病急乱投医
{4571}bingjiaqiqu 并驾齐驱
{108}binglaijiangdang 兵来将挡
{4589}binglianhuojie 兵连祸结
{4588}binglinchengxia 兵临城下
{167}bingmaweidong 兵马未动
{4574}bingmochanshen 病魔缠身
{4582}bingqilianxi 屏气敛息
{4583}bingqiningshen 屏气凝神
{4587}bingqiangmazhuang 兵强马壮
{4599}bingqingyujie 冰清玉洁
{4593}bingqingyurun 冰清玉润
{4586}bingrongxiangjian 兵戎相见
{4573}bingrugaohuang 病入膏肓
{4572}bingrugusui 病入骨髓
{4598}bingtianxuedi 冰天雪地
{4585}bingweijianggua 兵微将寡
{4568}bingxingbubei 并行不悖
{4584}bingxingguidao 兵行诡道
{4577}bingxingnanyi 禀性难移
{109}bingxingnanyi 秉性难移
{4597}bingxuecongming 冰雪聪明
{4578}bingzhuyeyou 秉烛夜游
{4561}bocaizhongchang 博采众长
{4559}bodajingshen 博大精深
{4558}bogutongjin 博古通今
{4565}boguanglinlin 波光粼粼
{4550}bojifenli 擘肌分理
{4564}bojueyungui 波谲云诡
{4557}bolanqunshu 博览群书
{4560}bolanzhuangkuo 波澜壮阔
{4552}bolexiangma 伯乐相马
{4567}boluanfanzheng 拨乱反正
{4553}bomingjiaren 薄命佳人
{4562}borandanu 勃然大怒
{4563}botaoxiongyong 波涛汹涌
{4556}bowenqiangji 博闻强记
{4555}boxueduocai 博学多才
{4554}boxueduowen 博学多闻
{4566}boyunjianri 拨云见日
{4551}bozhongzhijian 伯仲之间
{4547}bubaizhiyuan 不白之冤
{4546}bubeibukang 不卑不亢
{4545}bubifuyue 不避斧钺
{4544}bubianshumai 不辨菽麦
{4543}bubianzhenwei 不辨真伪
{4378}buboshusu 布帛菽粟
{4374}bubuweiying 步步为营
{4542}buchahaoli 不差毫厘
{106}buchengfangyuan 不成方圆
{4541}buchengtitong 不成体统
{4540}buchengzhitu 不逞之徒
{4539}buchixiawen 不耻下问
{4538}buchusuoliao 不出所料
{4537}bucierbie 不辞而别
{4536}bucilaoku 不辞劳苦
{4535}budabuxiangshi 不打不相识
{4534}budazizhao 不打自招
{4533}budaohuanghexinbusi 不到黄河心不死
{4532}budeerzhi 不得而知
{4531}budeqisuo 不得其所
{4530}buderenxin 不得人心
{4529}budeshanzhong 不得善终
{4528}budeyaoling 不得要领
{4527}budeyierweizhi 不得已而为之
{4526}budengdayazhitang 不登大雅之堂
{4525}budongshengse 不动声色
{4524}buerfamen 不二法门
{4523}bufaqiren 不乏其人
{4522}bufaxianli 不乏先例
{4521}bufeichuihuizhili 不费吹灰之力
{4520}bufenbici 不分彼此
{4516}bufenbuqi 不愤不启
{4518}bufenqinghongzaobai 不分青红皂白
{4519}bufenxuanzhi 不分轩轾
{4517}bufenzhenyu 不分畛域
{4549}bufengzhuoying 捕风捉影
{4515}bufushuitu 不服水土
