{267}gaizhubaiyingye 盖竹柏影也
{364}gangeliaoluosizhouxing 干戈寥落四周星
{490}ganshihuajianlei 感时花溅泪
{454}gaozheguajuanchanglinshao 高者挂罥长林梢
{145}gelingfengsaoshubainian 各领风骚数百年
{568}geyiyongzhi 歌以咏志
{60}gengzhufengheyu 更著风和雨
{345}gongquewanjiandouzuoletu 宫阙万间都做了土
{450}gongranbaomaoruzhuqu 公然抱茅入竹去
{50}gongrupilixianjing 弓如霹雳弦惊
{291}gouquanxingmingyuluanshi 苟全性命于乱世
{514}gudaoxifengshouma 古道西风瘦马
{432}gurenjujishu 故人具鸡黍
{229}gushansibeijiatingxi 孤山寺北贾亭西
{316}gutianjiangjiangdarenyushirenye 故天将降大任于是人也
{582}guancanghai 观沧海
{262}guanguanjujiu 关关雎鸠
{186}guanshuyougan 观书有感
{398}guanyimai 观刈麦
{448}guilaiyizhangzitanxi 归来倚杖自叹息
{530}guiyanluoyangbian 归雁洛阳边
{433}guogurenzhuang 过故人庄
{366}guolingdingyang 过零丁洋
{492}guoposhanhezai 国破山河在
{197}guosongyuanchenchuiqigongdian 过松源晨炊漆公店
{425}hailaijiujuhua 还来就菊花
{586}haineicunzhiji 海内存知己
{533}hairishengcanye 海日生残夜
{475}hanhailanganbaizhangbing 瀚海阑干百丈冰
{124}hanxuhuntaiqing 涵虚混太清
{356}haodanglichoubairixie 浩荡离愁白日斜
{600}hedanggongjianxichuangzhu 何当共剪西窗烛
{505}hehanqingqieqian 河汉清且浅
{154}helidaixiyang 荷笠带夕阳
{35}heriqianfengtang 何日遣冯唐
{129}heshifuxigui 何时复西归
{435}heshiyanqiantuwujianciwu 何时眼前突兀见此屋
{523}heiyunyachengchengyucui 黑云压城城欲摧
{489}henbieniaojingxin 恨别鸟惊心
{617}hengyangyanquwuliuyi 衡阳雁去无留意
{574}hongboyongqi 洪波涌起
{13}houbujianlaizhe 后不见来者
{274}houtianxiazhileerle 后天下之乐而乐
{472}huqinpipayuqiangdi 胡琴琵琶与羌笛
{478}huqiubunuanjinqinbo 狐裘不暖锦衾薄
{481}huruyiyechunfenglai 忽如一夜春风来
{482}hutianbayuejifeixue 胡天八月即飞雪
{109}huajianyihujiu 花间一壶酒
{353}huazuochunnigenghuhua 化作春泥更护花
{609}huaijiukongyinwendifu 怀旧空吟闻笛赋
{598}huaishangyuyourenbie 淮上与友人别
{408}huanxisha 浣溪沙
{115}huangheyiqubufufan 黄鹤一去不复返
{361}huangkongtantoushuohuangkong 惶恐滩头说惶恐
{152}huangmeishijiejiajiayu 黄梅时节家家雨
{559}huidanglingjueding 会当凌绝顶
{239}huiwandiaogongrumanyue 会挽雕弓如满月
{593}huixiangoushu 回乡偶书
{485}hunyubushengzan 浑欲不胜簪
{252}jichuzaoyingzhengnuanshu 几处早莺争暖树
{357}jihaizashi 己亥杂诗
{62}jimokaiwuzhu 寂寞开无主
{288}jiquanxiangwen 鸡犬相闻
{325}jisuobuyu 己所不欲
{522}jiaguangxiangrijinlinkai 甲光向日金鳞开
{71}jiajieyouchongyang 佳节又重阳
{487}jiashudiwanjin 家书抵万金
{379}jiatianshushuijin 家田输税尽
{246}jianbuduan 剪不断
{330}jianbuxianerneizixingye 见不贤而内自省也
{78}jianjiacaicai 蒹葭采采
{258}jianjiacangcang 蒹葭苍苍
{83}jianjiaqiqi 蒹葭萋萋
{331}jianxiansiqiyan 见贤思齐焉
{532}jiangchunrujiunian 江春入旧年
{409}jiangjunbaifazhengfulei 将军白发征夫泪
{477}jiangjunjiaogongbudekong 将军角弓不得控
{557}jiangnanchun 江南春
{162}jiangnanfengliguinian 江南逢李龟年
{497}jiangrudahuangliu 江入大荒流
{146}jiangshandaiyoucairenchu 江山代有才人出
{4}jiangwogucunbuziai 僵卧孤村不自哀
{444}jiaoerewotalilie 娇儿恶卧踏里裂
{510}jiaojiaohehannv 皎皎河汉女
{620}jiaoshengmantianqiuseli 角声满天秋色里
{546}jieluzairenjing 结庐在人境
