{388}bodengshujinhongjianye 拨灯书尽红笺也
{182}bofujianqingcheng 薄福荐倾城
{2460}boguaneryuequ 博观而约取
{558}bomingrusi 薄命如斯
{602}boqingzhuanshiduoqinglei 薄情转是多情累
{2394}boxindang 波心荡
{2969}boxuezhi 博学之
{286}bozhuangqiandaiyifengliu 薄妆浅黛亦风流
{772}bubadiaoansuo 不把雕鞍锁
{353}bubianhuacongnabianxiang 不辨花丛那辨香
{1022}bucengfuguibucengqiong 不曾富贵不曾穷
{36}buchengguzhuo 不成孤酌
{3038}buchengqi 不成器
{3089}buchixiawen 不耻下问
{1112}bucibingxueweiqingre 不辞冰雪为卿热
{2054}bucichangzuolingnanren 不辞长作岭南人
{628}budaorenjianyouyouweizhaohun 不道人间犹有未招魂
{58}budaozhi 不道只
{3091}bufeibufa 不悱不发
{3431}bufeijianghewanguliu 不废江河万古流
{3092}bufenbuqi 不愤不启
{1415}bugantanfengchen 不敢叹风尘
{3331}buganwenlairen 不敢问来人
{475}buhentianyaxingyiku 不恨天涯行役苦
{398}bujifurong 不及芙蓉
{2849}bujijiyufugui 不汲汲于富贵
{2981}bujikuibu 不积跬步
{1559}bujilinjianzizaiti 不及林间自在啼
{3300}bujiwanglunsongwoqing 不及汪伦送我情
{500}bujiyetaichentuge 不及夜台尘土隔
{1011}bujiandangnianqinshihuang 不见当年秦始皇
{209}bujianhehuanhua 不见合欢花
{2567}bujianniannianliaohaishang 不见年年辽海上
{1294}bujianwulinghaojiemu 不见五陵豪杰墓
{3248}bujiaohumaduyinshan 不教胡马度阴山
{1747}bujiecangzongji 不解藏踪迹
{3185}bujinchangjianggungunlai 不尽长江滚滚来
{309}bujinxinkukuangxiangguan 不禁辛苦况相关
{3339}bujuyigejiangrencai 不拘一格降人才
{1545}bujuyigejiangrencai 不拘一格降人材
{1079}bukeduanjue 不可断绝
{3151}bukehuo 不可活
{1836}bukenguojiangdong 不肯过江东
{3056}bulingerxing 不令而行
{1565}bulunpingdiyushanjian 不论平地与山尖
{2931}bumingzeyi 不鸣则已
{707}bupoloulanzhongbuhuan 不破楼兰终不还
{2850}buqiqiyupinjian 不戚戚于贫贱
{2756}buqianliutiaoqing 不遣柳条青
{2284}buqiuwendayuzhuhou 不求闻达于诸侯
{3135}buquqingfu 不去庆父
{682}burenfuyushang 不忍覆余觞
{2895}buruhuxue 不入虎穴
{2957}burutuierjiewang 不如退而结网
{3008}buruwushu 不如无书
{2633}busaibuliu 不塞不流
{806}bushianchenmingyue 不是暗尘明月
{3428}bushilushanzhenmianmu 不识庐山真面目
